Operation,Local Size,Global Size,Num Work Groups,Expected Sum,Actual Sum,Performance (GigaOperations/S)
mult.cl,1,1000,1000,520565.656250,499500.000000,0.019454
mult_add.cl,1,1000,1000,520565.656250,520565.656250,0.018723
mult.cl,1,2000,2000,2058605.500000,1999000.000000,0.048866
mult_add.cl,1,2000,2000,2058605.500000,2058605.375000,0.047946
mult.cl,1,4000,4000,8166617.000000,7998000.000000,0.099637
mult_add.cl,1,4000,4000,8166617.000000,8166617.000000,0.093450
mult.cl,1,8000,8000,32472986.000000,31995854.000000,0.216121
mult_add.cl,1,8000,8000,32472986.000000,32472986.000000,0.215006
mult.cl,1,16000,16000,129341192.000000,127990280.000000,0.466084
mult_add.cl,1,16000,16000,129341192.000000,129341192.000000,0.221853
mult.cl,1,32000,32000,515800096.000000,511980736.000000,0.692569
mult_add.cl,1,32000,32000,515800096.000000,515800096.000000,0.333266
mult.cl,1,64000,64000,2058763392.000000,2047959168.000000,1.880459
mult_add.cl,1,64000,64000,2058763392.000000,2058763392.000000,1.725060
mult.cl,1,128000,128000,8222459392.000000,8191923712.000000,3.599197
mult_add.cl,1,128000,128000,8222459392.000000,8222459392.000000,3.580631
mult.cl,1,256000,256000,32854462464.000000,32768337920.000000,1.352706
mult_add.cl,1,256000,256000,32854462464.000000,32854462464.000000,1.446193
mult.cl,1,512000,512000,131311632384.000000,131064004608.000000,2.806939
mult_add.cl,1,512000,512000,131311632384.000000,131311648768.000000,2.876134
mult.cl,1,1024000,1024000,524998180864.000000,524320047104.000000,4.960755
mult_add.cl,1,1024000,1024000,524998180864.000000,524998246400.000000,5.402740
mult.cl,1,2048000,2048000,2098612273152.000000,2096566370304.000000,9.155120
mult_add.cl,1,2048000,2048000,2098612273152.000000,2098612273152.000000,8.429381
mult.cl,1,4096000,4096000,8402539905024.000000,8396948897792.000000,12.030655
mult_add.cl,1,4096000,4096000,8402539905024.000000,8402539905024.000000,13.355095
mult.cl,1,8192000,8192000,33564338946048.000000,33548272664576.000000,28.240760
mult_add.cl,1,8192000,8192000,33564338946048.000000,33564341043200.000000,26.650628
mult.cl,32,4000,125,8166617.000000,7998000.000000,0.067746
mult_add.cl,32,4000,125,8166617.000000,8166617.000000,0.055751
