Operation,Local Size,Global Size,Num Work Groups,Expected Sum,Actual Sum,Performance (GigaOperations/S)
mult.cl,1,1000,1000,520565.656250,499500.000000,0.027859
mult_add.cl,1,1000,1000,520565.656250,520565.656250,0.028465
mult.cl,1,2000,2000,2058605.500000,1999000.000000,0.031907
mult_add.cl,1,2000,2000,2058605.500000,2058605.375000,0.055947
mult.cl,1,4000,4000,8166617.000000,7998000.000000,0.043376
mult_add.cl,1,4000,4000,8166617.000000,8166617.000000,0.106001
mult.cl,1,8000,8000,32472986.000000,31995854.000000,0.228723
mult_add.cl,1,8000,8000,32472986.000000,32472986.000000,0.116190
mult.cl,1,16000,16000,129341192.000000,127990280.000000,0.486159
mult_add.cl,1,16000,16000,129341192.000000,129341192.000000,0.329495
mult.cl,1,32000,32000,515800096.000000,511980736.000000,0.881245
mult_add.cl,1,32000,32000,515800096.000000,515800096.000000,0.948378
mult.cl,1,64000,64000,2058763392.000000,2047959168.000000,1.816630
mult_add.cl,1,64000,64000,2058763392.000000,2058763392.000000,1.922869
mult.cl,1,128000,128000,8222459392.000000,8191923712.000000,3.300013
mult_add.cl,1,128000,128000,8222459392.000000,8222459392.000000,1.820191
mult.cl,1,256000,256000,32854462464.000000,32768337920.000000,1.395659
mult_add.cl,1,256000,256000,32854462464.000000,32854462464.000000,0.899187
mult.cl,1,512000,512000,131311632384.000000,131064004608.000000,2.135621
mult_add.cl,1,512000,512000,131311632384.000000,131311648768.000000,2.584678
mult.cl,1,1024000,1024000,524998180864.000000,524320047104.000000,4.477313
mult_add.cl,1,1024000,1024000,524998180864.000000,524998246400.000000,4.871303
mult.cl,1,2048000,2048000,2098612273152.000000,2096566370304.000000,7.952665
mult_add.cl,1,2048000,2048000,2098612273152.000000,2098612273152.000000,8.197908
mult.cl,1,4096000,4096000,8402539905024.000000,8396948897792.000000,11.703344
mult_add.cl,1,4096000,4096000,8402539905024.000000,8402539905024.000000,12.019082
mult.cl,1,8192000,8192000,33564338946048.000000,33548272664576.000000,25.584020
mult_add.cl,1,8192000,8192000,33564338946048.000000,33564341043200.000000,23.004982
mult.cl,32,4000,125,8166617.000000,7998000.000000,0.102004
mult_add.cl,32,4000,125,8166617.000000,8166617.000000,0.103818
mult.cl,32,8000,250,32472986.000000,31995854.000000,0.108270
mult_add.cl,32,8000,250,32472986.000000,32472986.000000,0.107530
mult.cl,32,16000,500,129341192.000000,127990280.000000,0.196908
mult_add.cl,32,16000,500,129341192.000000,129341192.000000,0.434230
mult.cl,32,32000,1000,515800096.000000,511980736.000000,0.448561
mult_add.cl,32,32000,1000,515800096.000000,515800096.000000,0.450785
mult.cl,32,64000,2000,2058763392.000000,2047959168.000000,0.825896
mult_add.cl,32,64000,2000,2058763392.000000,2058763392.000000,1.856781
mult.cl,32,128000,4000,8222459392.000000,8191923712.000000,1.830859
mult_add.cl,32,128000,4000,8222459392.000000,8222459392.000000,3.789747
mult.cl,32,256000,8000,32854462464.000000,32768337920.000000,1.381338
mult_add.cl,32,256000,8000,32854462464.000000,32854462464.000000,1.198164
mult.cl,32,512000,16000,131311632384.000000,131064004608.000000,0.329586
mult_add.cl,32,512000,16000,131311632384.000000,131311648768.000000,2.836922
mult.cl,32,1024000,32000,524998180864.000000,524320047104.000000,3.827743
mult_add.cl,32,1024000,32000,524998180864.000000,524998246400.000000,4.926481
mult.cl,32,2048000,64000,2098612273152.000000,2096566370304.000000,8.060640
mult_add.cl,32,2048000,64000,2098612273152.000000,2098612273152.000000,8.204637
mult.cl,32,4096000,128000,8402539905024.000000,8396948897792.000000,12.848514
mult_add.cl,32,4096000,128000,8402539905024.000000,8402539905024.000000,13.034030
mult.cl,32,8192000,256000,33564338946048.000000,33548272664576.000000,25.371052
mult_add.cl,32,8192000,256000,33564338946048.000000,33564341043200.000000,22.695378
mult.cl,64,8000,125,32472986.000000,31995854.000000,0.227476
mult_add.cl,64,8000,125,32472986.000000,32472986.000000,0.092572
mult.cl,64,16000,250,129341192.000000,127990280.000000,0.473980
mult_add.cl,64,16000,250,129341192.000000,129341192.000000,0.452769
mult.cl,64,32000,500,515800096.000000,511980736.000000,0.940693
mult_add.cl,64,32000,500,515800096.000000,515800096.000000,0.952532
mult.cl,64,64000,1000,2058763392.000000,2047959168.000000,1.786313
mult_add.cl,64,64000,1000,2058763392.000000,2058763392.000000,1.783717
mult.cl,64,128000,2000,8222459392.000000,8191923712.000000,3.636913
mult_add.cl,64,128000,2000,8222459392.000000,8222459392.000000,1.571449
mult.cl,64,256000,4000,32854462464.000000,32768337920.000000,1.038890
mult_add.cl,64,256000,4000,32854462464.000000,32854462464.000000,1.359987
mult.cl,64,512000,8000,131311632384.000000,131064004608.000000,2.721887
mult_add.cl,64,512000,8000,131311632384.000000,131311648768.000000,2.463726
mult.cl,64,1024000,16000,524998180864.000000,524320047104.000000,4.850501
mult_add.cl,64,1024000,16000,524998180864.000000,524998246400.000000,4.837654
mult.cl,64,2048000,32000,2098612273152.000000,2096566370304.000000,7.873733
mult_add.cl,64,2048000,32000,2098612273152.000000,2098612273152.000000,7.691743
mult.cl,64,4096000,64000,8402539905024.000000,8396948897792.000000,13.367191
mult_add.cl,64,4096000,64000,8402539905024.000000,8402539905024.000000,13.168119
mult.cl,64,8192000,128000,33564338946048.000000,33548272664576.000000,23.864166
mult_add.cl,64,8192000,128000,33564338946048.000000,33564341043200.000000,24.283975
mult.cl,128,16000,125,129341192.000000,127990280.000000,0.305127
mult_add.cl,128,16000,125,129341192.000000,129341192.000000,0.412363
mult.cl,128,32000,250,515800096.000000,511980736.000000,0.891581
mult_add.cl,128,32000,250,515800096.000000,515800096.000000,0.866445
mult.cl,128,64000,500,2058763392.000000,2047959168.000000,1.854476
mult_add.cl,128,64000,500,2058763392.000000,2058763392.000000,1.641807
mult.cl,128,128000,1000,8222459392.000000,8191923712.000000,3.977052
mult_add.cl,128,128000,1000,8222459392.000000,8222459392.000000,3.890589
mult.cl,128,256000,2000,32854462464.000000,32768337920.000000,0.083467
mult_add.cl,128,256000,2000,32854462464.000000,32854462464.000000,0.151155
mult.cl,128,512000,4000,131311632384.000000,131064004608.000000,0.118087
mult_add.cl,128,512000,4000,131311632384.000000,131311648768.000000,2.929437
mult.cl,128,1024000,8000,524998180864.000000,524320047104.000000,4.953023
mult_add.cl,128,1024000,8000,524998180864.000000,524998246400.000000,4.760203
mult.cl,128,2048000,16000,2098612273152.000000,2096566370304.000000,7.192838
mult_add.cl,128,2048000,16000,2098612273152.000000,2098612273152.000000,6.343531
mult.cl,128,4096000,32000,8402539905024.000000,8396948897792.000000,11.125226
mult_add.cl,128,4096000,32000,8402539905024.000000,8402539905024.000000,13.041682
mult.cl,128,8192000,64000,33564338946048.000000,33548272664576.000000,22.050872
mult_add.cl,128,8192000,64000,33564338946048.000000,33564341043200.000000,16.398445
mult.cl,160,4000,25,8166617.000000,7998000.000000,0.078755
mult_add.cl,160,4000,25,8166617.000000,8166617.000000,0.101550
mult.cl,160,8000,50,32472986.000000,31995854.000000,0.189431
mult_add.cl,160,8000,50,32472986.000000,32472986.000000,0.205875
mult.cl,160,16000,100,129341192.000000,127990280.000000,0.226839
mult_add.cl,160,16000,100,129341192.000000,129341192.000000,0.325648
mult.cl,160,32000,200,515800096.000000,511980736.000000,0.806945
mult_add.cl,160,32000,200,515800096.000000,515800096.000000,0.808008
mult.cl,160,64000,400,2058763392.000000,2047959168.000000,1.140875
mult_add.cl,160,64000,400,2058763392.000000,2058763392.000000,1.143571
mult.cl,160,128000,800,8222459392.000000,8191923712.000000,3.718989
mult_add.cl,160,128000,800,8222459392.000000,8222459392.000000,3.951666
mult.cl,160,256000,1600,32854462464.000000,32768337920.000000,1.293848
mult_add.cl,160,256000,1600,32854462464.000000,32854462464.000000,1.325224
mult.cl,160,512000,3200,131311632384.000000,131064004608.000000,2.001660
mult_add.cl,160,512000,3200,131311632384.000000,131311648768.000000,2.512549
mult.cl,160,1024000,6400,524998180864.000000,524320047104.000000,4.932315
mult_add.cl,160,1024000,6400,524998180864.000000,524998246400.000000,3.700116
mult.cl,160,2048000,12800,2098612273152.000000,2096566370304.000000,7.112023
mult_add.cl,160,2048000,12800,2098612273152.000000,2098612273152.000000,7.036784
mult.cl,160,4096000,25600,8402539905024.000000,8396948897792.000000,13.026772
mult_add.cl,160,4096000,25600,8402539905024.000000,8402539905024.000000,1.202560
mult.cl,160,8192000,51200,33564338946048.000000,33548272664576.000000,30.182938
mult_add.cl,160,8192000,51200,33564338946048.000000,33564341043200.000000,25.105585
mult.cl,256,32000,125,515800096.000000,511980736.000000,0.961973
mult_add.cl,256,32000,125,515800096.000000,515800096.000000,0.954172
mult.cl,256,64000,250,2058763392.000000,2047959168.000000,1.597310
mult_add.cl,256,64000,250,2058763392.000000,2058763392.000000,1.368532
mult.cl,256,128000,500,8222459392.000000,8191923712.000000,3.569287
mult_add.cl,256,128000,500,8222459392.000000,8222459392.000000,1.562765
mult.cl,256,256000,1000,32854462464.000000,32768337920.000000,0.244881
mult_add.cl,256,256000,1000,32854462464.000000,32854462464.000000,1.121228
mult.cl,256,512000,2000,131311632384.000000,131064004608.000000,2.623356
mult_add.cl,256,512000,2000,131311632384.000000,131311648768.000000,0.393401
mult.cl,256,1024000,4000,524998180864.000000,524320047104.000000,0.208696
mult_add.cl,256,1024000,4000,524998180864.000000,524998246400.000000,1.269843
mult.cl,256,2048000,8000,2098612273152.000000,2096566370304.000000,6.982888
mult_add.cl,256,2048000,8000,2098612273152.000000,2098612273152.000000,2.328857
mult.cl,256,4096000,16000,8402539905024.000000,8396948897792.000000,4.047568
mult_add.cl,256,4096000,16000,8402539905024.000000,8402539905024.000000,12.588723
mult.cl,256,8192000,32000,33564338946048.000000,33548272664576.000000,22.551772
mult_add.cl,256,8192000,32000,33564338946048.000000,33564341043200.000000,17.421870
mult.cl,320,8000,25,32472986.000000,31995854.000000,0.135646
mult_add.cl,320,8000,25,32472986.000000,32472986.000000,0.216034
mult.cl,320,16000,50,129341192.000000,127990280.000000,0.424677
mult_add.cl,320,16000,50,129341192.000000,129341192.000000,0.441120
mult.cl,320,32000,100,515800096.000000,511980736.000000,0.827387
mult_add.cl,320,32000,100,515800096.000000,515800096.000000,0.840338
mult.cl,320,64000,200,2058763392.000000,2047959168.000000,1.693599
mult_add.cl,320,64000,200,2058763392.000000,2058763392.000000,1.846504
